map,field,row,values
LPC,polyeff_Map,14,0.9082923812268114 0.9084804044956002 0.9085799910295259 0.9086795439737394 0.9087785568760162 0.9088780438441753 0.9089769929157969 0.9090764141306027 0.9091752995855135 0.9092746552684682 0.9093734773194629
HPC,defaults,Nc,0.976
HPC,defaults,Rline,2.05
HPC,defaults,Wc,49.45367999999999
HPC,defaults,PR,9.374422
HPC,defaults,polyeff,0.9103634864054654
HPC,NcMap,-,0.5 0.6 0.7 0.75 0.8 0.85 0.9 0.925 0.95 0.975 1.0 1.025 1.05 1.15
HPC,RlineMap,-,1.0 1.2 1.4 1.6 1.8 2.0 2.2 2.4 2.6 2.8 3.0
HPC,WcMap,1,7.267 7.543 7.802 8.046 8.273 8.484 8.678 8.855 9.017 9.162 9.292
HPC,WcMap,2,9.809 10.081 10.331 10.558 10.764 10.948 11.111 11.253 11.374 11.475 11.557
HPC,WcMap,3,13.119 13.369 13.593 13.791 13.964 14.111 14.235 14.335 14.412 14.467 14.501
HPC,WcMap,4,15.487 15.754 15.99 16.196 16.372 16.519 16.638 16.729 16.794 16.834 16.85
HPC,WcMap,5,18.81 19.118 19.386 19.614 19.804 19.956 20.073 20.155 20.203 20.219 20.219
HPC,WcMap,6,24.726 25.163 25.538 25.851 26.105 26.302 26.444 26.532 26.57 26.572 26.572
HPC,WcMap,7,32.579 33.147 33.628 34.025 34.34 34.576 34.736 34.824 34.844 34.844 34.844
HPC,WcMap,8,37.318 37.919 38.426 38.843 39.173 39.418 39.582 39.669 39.685 39.685 39.685
HPC,WcMap,9,42.541 43.049 43.481 43.84 44.126 44.343 44.493 44.579 44.603 44.603 44.603
HPC,WcMap,10,47.74 48.152 48.505 48.801 49.04 49.225 49.358 49.44 49.472 49.473 49.473
HPC,WcMap,11,53.232 53.466 53.672 53.849 53.998 54.12 54.216 54.285 54.33 54.349 54.35
HPC,WcMap,12,55.614 55.749 55.87 55.976 56.068 56.146 56.211 56.261 56.299 56.323 56.335
HPC,WcMap,13,57.892 57.961 58.023 58.079 58.13 58.174 58.213 58.245 58.273 58.294 58.31
HPC,WcMap,14,60.96 60.963 60.966 60.969 60.972 60.975 60.977 60.98 60.983 60.985 60.987
HPC,PRMap,1,1.6474 1.6178 1.583 1.5432 1.4988 1.4501 1.3958 1.335 1.2684 1.1967 1.121
HPC,PRMap,2,2.0524 2.0061 1.9528 1.8928 1.8267 1.7549 1.676 1.5887 1.4942 1.3937 1.2887
HPC,PRMap,3,2.6917 2.6224 2.5441 2.4574 2.363 2.2618 2.1517 2.0312 1.902 1.7659 1.6247
HPC,PRMap,4,3.1844 3.0989 3.0017 2.8938 2.7763 2.6501 2.5128 2.3625 2.2016 2.0325 1.8576
HPC,PRMap,5,3.9146 3.8061 3.6811 3.5412 3.3876 3.2221 3.0412 2.8428 2.6301 2.407 2.177
HPC,PRMap,6,5.2748 5.1343 4.964 4.7661 4.5434 4.2989 4.0272 3.725 3.3991 3.0567 2.7054
HPC,PRMap,7,7.2269 7.0482 6.8214 6.55 6.2382 5.8909 5.4999 5.0605 4.584 4.0826 3.5692
HPC,PRMap,8,8.4539 8.2523 7.9945 7.6844 7.3269 6.9275 6.4764 5.9681 5.4154 4.8326 4.2344
HPC,PRMap,9,9.7989 9.5666 9.2844 8.9557 8.5845 8.1752 7.7182 7.2068 6.6512 6.0625 5.4522
HPC,PRMap,10,11.0964 10.8394 10.5411 10.204 9.8313 9.4263 8.98 8.4856 7.9504 7.3823 6.7898
HPC,PRMap,11,12.3279 12.0811 11.8131 11.5251 11.2183 10.894 10.5466 10.1712 9.7705 9.3472 8.9045
HPC,PRMap,12,12.8281 12.6098 12.3814 12.1431 11.8957 11.6395 11.3715 11.0885 10.7917 10.4821 10.1607
HPC,PRMap,13,13.2984 13.1308 12.9593 12.7839 12.6048 12.4222 12.2345 12.0405 11.8404 11.6343 11.4228
HPC,PRMap,14,13.9406 13.9123 13.884 13.8556 13.8272 13.7988 13.7703 13.7417 13.713 13.6842 13.6554
HPC,polyeff_Map,1,0.7366553534443869 0.7453545187259876 0.749470398417326 0.7480244594907992 0.7399170810222604 0.7238177423798217 0.6952427078576809 0.6484955748062166 0.5782641981589745 0.47729459539794056 0.3346957482280368
HPC,polyeff_Map,2,0.759728880125292 0.7666219215434071 0.7695994326447176 0.7682538455739029 0.7616072477209691 0.7487322265241446 0.7264740655044214 0.6908779398772291 0.6387823041603305 0.5656613887685217 0.4658114790926534
HPC,polyeff_Map,3,0.7869196460387029 0.791883008118489 0.794035134811586 0.7927245901335384 0.7877208689324535 0.7781501611415249 0.7621555179972044 0.7371528694265193 0.7012836636536814 0.652457057728527 0.5876534483975132
