map,pratio,mb,piD,mbD,NbD,epol0,Nb,epol,dNb_dpi,dNb_dmb,depol_dpi,depol_dmb,N,R
LPC,2.55,0.8,3.0,1.0,1.0,0.9,0.8696258283551429,0.8770690889762891,0.10432219838679259,0.3783911166402262,-0.06573766104788213,0.3825557970404413,0.8696258283551429,1.2633477049741895
LPC,2.55,1.0,3.0,1.0,1.0,0.9,0.9965865384615383,0.8341306542340298,0.0,0.9916996606334829,0.2146332498738197,-1.025543792624756,0.9965865384615383,2.8459410142654753
LPC,2.55,1.15,3.0,1.0,1.0,0.9,1.2271341893263539,0.36597335856028224,0.004612094539664569,1.554191174394978,0.23209239891856345,-1.2549627526732114,1.2271341893263539,3.53735853022781
LPC,3.0,0.55,3.0,1.0,1.0,0.9,0.9287837281504074,0.5617139158820965,0.1513771974817854,0.007326570379942809,-0.12489273731714594,1.0152532913217795,0.9287837281504074,0.6454176066725732
LPC,3.0,0.8,3.0,1.0,1.0,0.9,0.9306149033389335,0.8148478200787598,0.15133896041731074,0.0073228374885722924,-0.1804738563918299,1.0098271875502791,0.9306149033389335,0.935831957165825
LPC,3.0,1.0,3.0,1.0,1.0,0.9,0.9999999999999991,0.890705044236544,0.024220755762937304,0.7597376387011375,0.03642039013714238,-0.2863700988980995,0.9999999999999991,2.149999999999239
LPC,3.0,1.15,3.0,1.0,1.0,0.9,1.229200181881906,0.46993939052301453,0.004570229440879494,1.5471741603142435,0.22998564002096783,-1.6080768567395538,1.229200181881906,3.404338639606174
LPC,3.3000000000000003,0.55,3.0,1.0,1.0,0.9,0.9722366260555735,0.526808250926053,0.13911338612525337,0.006697248949290717,-0.10843271061248211,0.9526129751707836,0.9722366260555735,0.5988802068200492
LPC,3.3000000000000003,0.8,3.0,1.0,1.0,0.9,0.9739106448313464,0.7643740545546158,0.139089228036755,0.006694904820079528,-0.15679145318727636,0.9479205864868414,0.9739106448313464,0.868605062947145
LPC,3.3000000000000003,1.0,3.0,1.0,1.0,0.9,1.012520540077869,0.8928862993279788,0.050981824311045525,0.8049163177214199,-0.00978088913145473,-0.14642174387685228,1.012520540077869,1.6708744982571357
LPC,3.3000000000000003,1.15,3.0,1.0,1.0,0.9,1.230567122060685,0.5387273181303412,0.0045427634912653825,1.5425601538399831,0.22860348315499446,-1.8402654690993598,1.230567122060685,3.315934887273885
HPC,6.0,0.55,10.0,1.0,1.0,0.9,0.8843129908337358,0.8530776144345587,0.010680726076055242,0.18127265333436646,-0.0264655273763743,0.49517745955636516,0.8630894790537262,1.1772524301988492
HPC,6.0,0.8,10.0,1.0,1.0,0.9,0.9471397641711843,0.8563570842913408,0.00014303630264767372,0.2602083189301617,0.038117162642028336,-0.2341138145165699,0.924408409831076,2.5067953988546927
HPC,6.0,1.0,10.0,1.0,1.0,0.9,0.9983751661471811,0.6754805047053798,0.00041089601705239444,0.25477624346522554,0.13286312235362116,-1.3845592860367835,0.9744141621596488,3.192065163605173
HPC,6.0,1.15,10.0,1.0,1.0,0.9,1.053489517361257,0.42590613370533603,0.0007151079116717335,0.6261318766633046,0.08340178619038496,-1.5580368046250814,1.028205768944587,3.5009453810328615
HPC,8.5,0.55,10.0,1.0,1.0,0.9,0.937439991660518,0.6667332660936326,0.01925183254505393,0.002300074392478811,-0.062198800685893424,1.2048112240187945,0.9149414318606656,0.7681029973982942
HPC,8.5,0.8,10.0,1.0,1.0,0.9,0.9519930624324542,0.8920855138806701,0.004646343329212205,0.18984284802373108,-0.007414051993268295,0.1780727121439445,0.9291452289340754,1.5466819474636402
HPC,8.5,1.0,10.0,1.0,1.0,0.9,0.9988892931805893,0.8724615379100253,0.00028784435920493196,0.2561126083230471,0.019451920890018272,-0.22325403562609591,0.9749159501442553,2.587799432345643
HPC,8.5,1.15,10.0,1.0,1.0,0.9,1.0552651817885719,0.6322931042690034,0.00070550021594793,0.6220119367526296,0.08172118680851331,-2.2787058043807513,1.0299388174256463,3.2583781277679105
HPC,10.0,0.55,10.0,1.0,1.0,0.9,0.9646843863421135,0.5872248409644909,0.017557991108804325,0.0021384633492246854,-0.045458429183734834,1.0621449513346757,0.9415319610699029,0.6671151571845321
HPC,10.0,0.8,10.0,1.0,1.0,0.9,0.9652191775851225,0.8521366337180257,0.01756370234822713,0.0021398649508155166,-0.06579046664271783,1.057155243508072,0.9420539173230796,0.9677609770862583
HPC,10.0,1.0,10.0,1.0,1.0,0.9,0.9999999999999913,0.8937790078054989,0.0013296853927701852,0.23768595532633877,0.00799040559091942,-0.15163325380957848,0.9759999999999917,2.0499999999893483
