map,N,R,Wc,PR,polyeff,dWc_dN,dWc_dR,dPR_dN,dPR_dR,dpe_dN,dpe_dR
LPC,0.15,2.63,14.42585,1.005525,0.2841092655760019,96.17233333333334,3.0450000000000017,0.10350000000000037,-0.027499999999999858,1.8940617705066796,-0.5875573031425587
LPC,0.15,3.0,15.5055,0.995,0.0,103.37,2.8100000000000023,0.033333333333333215,-0.02925000000000022,0.0,-0.921122620208834
LPC,0.15,3.5,15.5830275,0.995,0.0,103.88685000000001,0.15505500000000083,0.033333333333333215,0.0,0.0,0.0
LPC,0.35,0.5,10.714499999999997,1.1013292499999998,0.4086784078673298,35.219999999999985,21.428999999999995,0.5638049999999968,-0.010958499999999982,0.08560688064297128,0.8173568157346596
LPC,0.35,1.1,22.234749999999995,1.0937999999999999,0.8282963794570932,72.23500000000001,8.057500000000005,0.5489999999999995,-0.02050000000000018,0.17171520612146907,0.10939563722433876
LPC,0.35,1.75,27.281499999999994,1.075875,0.8687185858018198,82.47999999999999,7.500000000000012,0.44899999999999984,-0.033499999999999634,0.19137925093949448,0.012777483720363577
LPC,0.35,2.2,30.53099999999999,1.0576499999999998,0.8307746709734315,87.79999999999995,7.079999999999997,0.3490000000000002,-0.04500000000000036,0.25497174002629563,-0.15361602398171614
LPC,0.35,2.63,33.42035,1.0313649999999999,0.593250559814331,91.37299999999993,6.39500000000001,0.20629999999999882,-0.07449999999999955,0.5006405732465451,-1.1141763366548512
LPC,0.35,3.0,35.708,1.0022499999999999,0.04609059314509642,93.93999999999994,6.002500000000012,0.04499999999999993,-0.08225000000000014,0.9218118629019286,-1.7887499471895478
LPC,0.35,3.5,35.88654,1.001125,0.02304529657254821,94.40969999999999,0.3570799999999998,0.022500000000000853,-0.002249999999999973,0.4609059314509643,-0.04609059314509642
LPC,0.62,0.5,21.355800000000002,1.3308813000000002,0.43196108278490797,44.61500000000001,42.711600000000004,1.3145399999999992,-0.013242599999999927,0.05536037230792257,0.8639221655698159
LPC,0.62,1.1,43.81400000000001,1.3174400000000002,0.8743067203537751,89.65000000000003,11.024000000000003,1.2819999999999983,-0.06819999999999987,0.10871509476286612,0.10384554783959121
LPC,0.62,1.75,50.195949999999996,1.259975,0.9166340641495608,89.08500000000004,8.773000000000003,1.0612499999999994,-0.10510000000000021,0.11198615140472512,0.025710598708591628
LPC,0.62,2.2,53.68520000000001,1.20392,0.8939249650989483,85.11000000000001,7.242999999999984,0.8509999999999991,-0.13679999999999953,0.14687656396821325,-0.1045096170693455
LPC,0.62,2.63,56.276700000000005,1.1264420000000002,0.719587656546917,78.87499999999989,4.989999999999986,0.5713499999999971,-0.21460000000000046,0.2946599729923607,-0.805248465852735
LPC,0.62,3.0,57.9774,1.04268,0.3253921722771098,72.01999999999998,4.261999999999977,0.2840000000000007,-0.23639999999999955,0.6764041584943561,-1.2865162253742106
LPC,0.62,3.5,58.26728700000001,1.02134,0.1626960861385549,72.38009999999997,0.5797740000000019,0.14199999999999946,-0.042679999999999926,0.33820207924717804,-0.3253921722771098
LPC,0.805,0.5,30.288600000000002,1.6259895000000002,0.4416954372267726,52.620000000000005,60.577200000000005,2.190899999999999,-0.016179000000000034,0.09686781788283483,0.8833908744535452
LPC,0.805,1.1,61.673350000000006,1.6055700000000002,0.8931777082869972,104.37000000000012,10.961500000000001,2.1439999999999984,-0.12330000000000016,0.16969149642393333,0.09786833833451904
LPC,0.805,1.75,67.39305,1.5019150000000001,0.9341963060138967,97.81000000000017,6.96499999999998,1.8930000000000007,-0.1890999999999995,0.06376253642972429,0.02817029785174148
LPC,0.805,2.2,69.7701,1.40191,0.9176463044981259,92.62000000000012,4.451499999999988,1.7020000000000017,-0.2437000000000002,0.112122167537823,-0.08286476548364954
LPC,0.805,2.63,70.883935,1.2661055,0.7765022485597306,87.4369999999999,1.0645000000000038,1.486100000000004,-0.3701500000000015,0.6294469493068089,-0.6391959783888592
LPC,0.805,3.0,71.09819999999999,1.12293,0.47024646187787933,84.6400000000001,0.16649999999995085,1.2860000000000014,-0.40124999999999944,1.9719978059173773,-0.987962351778726
LPC,0.805,3.5,71.45369099999999,1.061465,0.23512323093893966,85.06320000000005,0.710982,0.6430000000000007,-0.12293000000000007,0.9859989029586886,-0.47024646187787933
LPC,1.0,0.5,42.172,2.1700965,0.46273467261044904,69.02999999999986,84.344,3.3426299999999998,-0.021593000000000195,0.10813629369016198,0.9254693452208981
LPC,1.0,1.1,84.7775,2.1425,0.9278197201782705,132.0999999999999,4.335000000000036,3.3329999999999984,-0.16799999999999926,0.1660916469261693,0.023503749573724697
LPC,1.0,1.75,86.9485,2.021725,0.9358280634494984,102.34500000000003,2.509999999999991,3.5364999999999966,-0.20050000000000168,-0.0502654690604416,0.001393036065672426
LPC,1.0,2.2,87.735,1.9235,0.92984332773674,91.68000000000006,1.3750000000000568,3.8519999999999897,-0.23000000000000043,0.01134620917706286,-0.023423783347571003
LPC,1.0,2.63,87.96714999999999,1.80721,0.9012594410572832,88.43399999999974,0.005000000000052296,4.397099999999995,-0.30299999999999905,0.5949443540401909,-0.10945368428499513
LPC,1.0,3.0,87.968,1.6909,0.8535158202781216,88.40000000000009,0.0,5.007999999999996,-0.32399999999999984,1.7646661047728092,-0.14568247225356235
LPC,1.0,3.5,88.40784000000001,1.34545,0.4267579101390608,88.84199999999987,0.8796800000000076,2.503999999999998,-0.6909000000000001,0.8823330523864046,-0.8535158202781216
LPC,1.12,0.5,47.30460000000001,2.4119799,0.4566910606154875,24.58000000000004,94.60920000000002,1.149720000000002,-0.023999799999999995,-0.08482900006939254,0.913382121230975
LPC,1.12,1.1,94.63300000000001,2.3972100000000003,0.9133511651652253,48.200000000000045,0.23799999999997595,1.2730000000000103,-0.027699999999999274,-0.1654924101339823,-0.0003095606574969841
LPC,1.12,1.75,94.77134999999998,2.378965,0.9127698917155266,42.50500000000034,0.1930000000000056,2.1170000000000115,-0.02850000000000203,-0.13386960216931953,-0.00129561000785276
LPC,1.12,2.2,94.8472,2.366,0.9121311575984612,39.16000000000031,0.1579999999999921,2.710000000000008,-0.029100000000000983,-0.10513882275547459,-0.0015710199262393525
LPC,1.12,2.63,94.90548,2.3529210000000003,0.9110894569677446,36.42900000000054,0.11599999999997357,3.300300000000007,-0.0312999999999994,-0.06330846765959919,-0.002931311184298647
LPC,1.12,3.0,94.9454,2.3411200000000005,0.90989549559683,34.42000000000007,0.10100000000003273,3.8260000000000147,-0.03239999999999968,-0.017400609245569854,-0.0034781923479192283
LPC,1.12,3.5,95.42012700000001,1.6705600000000003,0.454947747798415,34.59210000000007,0.9494540000000001,1.913000000000011,-1.3411200000000005,-0.008700304622784927,-0.90989549559683
LPC,1.4,0.5,55.107,2.8104063529411762,0.32057378160946287,28.25999999999999,110.214,1.4557394117647058,-0.017183294117647064,-0.5342896360157714,0.6411475632189257
LPC,1.4,1.1,110.2104705882353,2.802591176470588,0.6412139243726159,56.52588235294115,-0.03529411764710698,1.4687647058823528,0.007764705882353654,-1.0686898739543595,0.0006636115369011594
LPC,1.4,1.75,110.1875294117647,2.807585294117647,0.6414732731650215,56.56411764705882,-0.03529411764706685,1.4604411764705882,0.007411764705881381,-1.0691221219417022,0.0003494573021532019
LPC,1.4,2.2,110.17023529411765,2.810991176470588,0.6416308185287979,56.592941176470575,-0.038823529411729396,1.454764705882353,0.007411764705882634,-1.0693846975479961,0.00034923201748823964
LPC,1.4,2.63,110.15354117647058,2.8142594117647057,0.6417813197209106,56.62076470588234,-0.038823529411769524,1.4493176470588236,0.007764705882353654,-1.0696355328681841,0.00035066711631076227
LPC,1.4,3.0,110.13917647058824,2.8170617647058824,0.6419106898725622,56.64470588235294,-0.03882352941180965,1.444647058823529,0.007411764705882634,-1.0698511497876033,0.000348783709393279
LPC,1.4,3.5,110.47792235294116,1.907060294117647,0.3209553449362811,56.0801294117647,0.6774917647058788,0.7164411764705885,-1.8200029411764707,-0.5349255748938017,-0.6419106898725622
HPC,0.15,0.5,1.09005,1.1896911,0.11049830301665804,7.267,2.1801,1.331274,-0.004942200000000029,0.7366553534443869,0.22099660603331608
HPC,0.15,1.1,2.2215,1.18278,0.22230148082555617,14.81,0.41400000000000076,1.2852000000000001,-0.04440000000000044,1.4820098721703745,0.013048747922401027
HPC,0.15,1.75,2.4648749999999997,1.14597,0.2225831776918185,16.432499999999997,0.3405000000000015,1.0398,-0.06660000000000012,1.48388785127879,-0.012161067702808158
